[0.000000] (-) TimerEvent: {}
[0.000259] (two_wheeled_robot) JobQueued: {'identifier': 'two_wheeled_robot', 'dependencies': OrderedDict()}
[0.426384] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_PortraitA_02/meshes/aws_PortraitA_01_visual.DAE\n'}
[0.426503] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall\n'}
[0.426561] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/model.sdf\n'}
[0.426620] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/model.config\n'}
[0.426710] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/materials\n'}
[0.426766] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/materials/textures\n'}
[0.426820] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/materials/textures/cubicle_wall.png\n'}
[0.426874] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes\n'}
[0.426928] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes/cubicle_wall.mtl\n'}
[0.426984] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes/cubicle_wall.obj\n'}
[0.427044] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes/cubicle_corner.obj\n'}
[0.427100] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes/cubicle_closed.obj\n'}
[0.427154] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/cubicle_wall/meshes/cubicle_open.obj\n'}
[0.427225] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor\n'}
[0.427285] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails\n'}
[0.427340] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails/2.png\n'}
[0.427462] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails/3.png\n'}
[0.427518] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails/5.png\n'}
[0.427572] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails/1.png\n'}
[0.427627] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/thumbnails/4.png\n'}
[0.427682] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/model.sdf\n'}
[0.427736] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/model.config\n'}
[0.427790] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes\n'}
[0.427846] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/Handbag.png\n'}
[0.427900] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/FemaleVisitor_Col.mtl\n'}
[0.427957] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/FemaleVisitor.obj\n'}
[0.428013] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/FemaleVisitor.png\n'}
[0.428114] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/FemaleVisitor.mtl\n'}
[0.428213] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/FemaleVisitor/meshes/FemaleVisitor_Col.obj\n'}
[0.428277] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor\n'}
[0.428347] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/model.sdf\n'}
[0.428420] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/model.config\n'}
[0.428506] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/meshes\n'}
[0.428564] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/meshes/aws_robomaker_hospital_floor_01_floor_visual.dae\n'}
[0.428619] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/meshes/aws_robomaker_hospital_floor_01_floor_normal.png\n'}
[0.428672] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/meshes/aws_robomaker_hospital_floor_01_floor.png\n'}
[0.428789] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_hospital_floor_01_floor/meshes/aws_robomaker_hospital_floor_01_floor_collision.dae\n'}
[0.428849] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree\n'}
[0.428916] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/model.sdf\n'}
[0.429015] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/model.config\n'}
[0.429091] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials\n'}
[0.429188] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/scripts\n'}
[0.429243] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/scripts/oak_tree.material\n'}
[0.429328] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/scripts/caster_vp.glsl\n'}
[0.429382] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/scripts/caster_fp.glsl\n'}
[0.429458] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/textures\n'}
[0.429561] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/textures/bark_diffuse.png\n'}
[0.429649] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/materials/textures/branch_diffuse.png\n'}
[0.429738] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/meshes\n'}
[0.429837] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/oak_tree/meshes/oak_tree.dae\n'}
[0.429954] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk\n'}
[0.430028] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/model.sdf\n'}
[0.430085] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/model.config\n'}
[0.430140] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/materials\n'}
[0.430208] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/materials/textures\n'}
[0.430264] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/materials/textures/office_desk_specular.png\n'}
[0.430334] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/materials/textures/office_desk_diffuse.png\n'}
[0.430391] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/meshes\n'}
[0.430446] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/office_desk/meshes/office_desk.dae\n'}
[0.430551] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing\n'}
[0.430606] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/model.sdf\n'}
[0.430676] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/model.config\n'}
[0.430773] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials\n'}
[0.430828] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures\n'}
[0.430897] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/green_eye.png\n'}
[0.430955] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/tshirt02_texture.png\n'}
[0.431011] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/jeans01_normals.png\n'}
[0.431065] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/teeth.png\n'}
[0.431131] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/young_lightskinned_male_diffuse.png\n'}
[0.431185] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/male02_diffuse_black.png\n'}
[0.431241] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/male02_diffuse_black-unmodified.png\n'}
[0.431296] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/tshirt02_normals.png\n'}
[0.431352] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/jeans_basic_diffuse.png\n'}
[0.431406] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/eyebrow001.png\n'}
[0.431466] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/materials/textures/eyebrow001-unmodified.png\n'}
[0.431523] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/meshes\n'}
[0.431578] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/person_standing/meshes/standing.dae\n'}
[0.431667] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small\n'}
[0.431723] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/model.sdf\n'}
[0.431779] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/model.config\n'}
[0.431878] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/materials\n'}
[0.431935] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/materials/textures\n'}
[0.431991] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/materials/textures/conference_table.png\n'}
[0.432047] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/meshes\n'}
[0.432125] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/meshes/conference_table_small.mtl\n'}
[0.432182] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/conference_table_small/meshes/conference_table_small.obj\n'}
[0.432247] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher\n'}
[0.432303] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/model.sdf\n'}
[0.432359] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/model.config\n'}
[0.432414] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/materials\n'}
[0.432469] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/materials/textures\n'}
[0.432526] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/materials/textures/dishwasher.png\n'}
[0.432581] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/meshes\n'}
[0.432637] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/meshes/dishwasher.mtl\n'}
[0.432710] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/dishwasher/meshes/dishwasher.obj\n'}
[0.432768] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad\n'}
[0.432874] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/model.sdf\n'}
[0.433147] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/model.config\n'}
[0.433290] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials\n'}
[0.433461] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/scripts\n'}
[0.433608] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/scripts/aruco_visual_marker_5_marker.material\n'}
[0.433729] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/scripts/aruco_visual_marker_5_num.material\n'}
[0.433851] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/textures\n'}
[0.433991] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/textures/aruco_mark_5.png\n'}
[0.434105] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/textures/aruco_mark_5_num.png\n'}
[0.434216] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aruco_visual_marker_5_pad/materials/textures/aruco_mark_5_num.svg\n'}
[0.434328] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01\n'}
[0.434440] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/model.sdf\n'}
[0.434551] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/model.config\n'}
[0.434662] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/materials\n'}
[0.434771] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/materials/textures\n'}
[0.434882] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/materials/textures/aws_robomaker_warehouse_GroundB_01.png\n'}
[0.435007] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/materials/textures/aws_robomaker_warehouse_GroundB_02.png\n'}
[0.435129] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/meshes\n'}
[0.435249] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/meshes/aws_robomaker_warehouse_GroundB_01_visual.DAE\n'}
[0.435371] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_warehouse_GroundB_01/meshes/aws_robomaker_warehouse_GroundB_01_collision.DAE\n'}
[0.435491] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper\n'}
[0.435611] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper/model-1_3.sdf\n'}
[0.435732] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper/model.sdf\n'}
[0.435852] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper/model-1_4.sdf\n'}
[0.435973] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper/model.config\n'}
[0.436092] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/simple_gripper/model-1_2.sdf\n'}
[0.436323] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office\n'}
[0.436453] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/model.sdf\n'}
[0.436565] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/model.config\n'}
[0.436677] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/materials\n'}
[0.436787] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/materials/textures\n'}
[0.436897] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/materials/textures/post_office_diffuse.jpg\n'}
[0.437092] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/materials/textures/post_office_spec.jpg\n'}
[0.437208] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/meshes\n'}
[0.437320] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/post_office/meshes/post_office.dae\n'}
[0.437432] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_KitchenUtensils_01\n'}
[0.437569] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_KitchenUtensils_01/model.sdf\n'}
[0.437698] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_KitchenUtensils_01/model.config\n'}
[0.437821] (two_wheeled_robot) StdoutLine: {'line': b'-- Up-to-date: /home/jalal/ros2_ws/install/two_wheeled_robot/share/two_wheeled_robot/models/aws_robomaker_residential_KitchenUtensils_01/materials\n'}
